input,output,se_order
"semuanya oke . tetapi foto kamar dengan asli nya beda .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> semuanya <extra_id_1> oke,ao
"kamarnya nyaman , hanya saja ada 1 lampu yang mati dekat dengan kamar mandi , dan lampu tdurnya hanya 1 yang hidup , tetapi overall , cukup puas .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamarnya <extra_id_1> positive ; <extra_id_2> overall <extra_id_3> positive,as
semuanya bagus . sayangnya tidak bisa order makanan .| opini : <extra_id_0>,<extra_id_0> bagus,o
"hotel nya bersih dan memuaskan .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> hotel nya <extra_id_1> bersih ; <extra_id_2> hotel nya <extra_id_3> memuaskan,ao
"kurang bersih . tidak dapat sandal . resepsionis suka ngerokok .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> sandal <extra_id_1> tidak dapat ; <extra_id_2> resepsionis <extra_id_3> suka ngerokok ; <extra_id_4> NULL <extra_id_5> kurang bersih,ao
"untuk harga segitu lumayan , sayangnya air shower nya kurang kencang mengalirnya .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> air shower nya <extra_id_1> negative ; <extra_id_2> NULL <extra_id_3> positive,as
air tidak ada . kamar panas pul .| opini : <extra_id_0>,<extra_id_0> tidak ada ; <extra_id_1> panas pul,o
"kamarnya brisik . so far oke lah .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamarnya <extra_id_1> brisik <extra_id_2> negative ; <extra_id_3> kamarnya <extra_id_4> oke <extra_id_5> positive,aos
"lumayan untuk budget hotel . cuma banyak nyamuk .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> NULL <extra_id_1> lumayan <extra_id_2> positive,aos
nyaman bersih cuma sayang tidak ada tisu toiletnya .| aspek : <extra_id_0>,<extra_id_0> tisu toiletnya ; <extra_id_1> NULL,a
saya mau boking lagi ini hari sudah penuh . pime ?| opini : <extra_id_0>,NULL,o
"kami kecewa dengan layanan administrasi yang menerbitkan invoice sangat ribet .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> layanan <extra_id_1> negative ; <extra_id_2> layanan administrasi <extra_id_3> negative,as
"sangat nyaman terima kasih pegawainya ramah bersih dan dekat kemana mana pokonya betah .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pegawainya <extra_id_1> ramah <extra_id_2> positive ; <extra_id_3> NULL <extra_id_4> sangat nyaman <extra_id_5> positive ; <extra_id_6> NULL <extra_id_7> bersih <extra_id_8> positive,aos
"tempat memang tidak strategis . bangunannya pun sudah usang dan tidak terurus karena hotelnya sangat sepi . beberapa fasilitas hotel pun ada yang rusak , contohnya ac , shower , kasur , kunci lemari . walaupun yang menginap sedikit , tetapi tetap saja di buatkan sarapan . iya sesuai lah sama budget kita . overall hotelnya lumayan bagus kok . terima kasih ~ .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> tempat <extra_id_1> tidak strategis <extra_id_2> negative ; <extra_id_3> bangunannya <extra_id_4> usang <extra_id_5> negative ; <extra_id_6> bangunannya <extra_id_7> tidak terurus <extra_id_8> negative ; <extra_id_9> beberapa fasilitas <extra_id_10> rusak <extra_id_11> negative ; <extra_id_12> overall hotelnya <extra_id_13> lumayan bagus <extra_id_14> positive,aos
"semua oke dan bagus kecuali pelayan resepsionis galak .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> semua <extra_id_1> oke ; <extra_id_2> semua <extra_id_3> bagus ; <extra_id_4> pelayan resepsionis <extra_id_5> galak,ao
Petugas dan resepsionisnya baik dan ramah .| aspek : <extra_id_0>,<extra_id_0> Petugas resepsionisnya,a
untuk kedua kalinya . very bagus .| opini : <extra_id_0>,<extra_id_0> very bagus,o
"room minimalis , cukup luas untuk harga begini . staf ramah banget dari satuan pengamanan sampai front desk .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> room <extra_id_1> positive ; <extra_id_2> staf <extra_id_3> positive,as
"tidak ada air panas , ketika datang tidak ada handuk , tidak ada tisu toilet , perlengkapan airy room juga tidak tersedia . harus di minta dulu . baru di antar .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> air panas <extra_id_1> negative ; <extra_id_2> handuk <extra_id_3> negative ; <extra_id_4> tisu toilet <extra_id_5> negative ; <extra_id_6> perlengkapan airy room <extra_id_7> negative,as
"baguss pelayanan oke . tempat parkir juga disediakan walau sering ramai mobil parkir . dapat sarapan nasi ayam makanan khas semarang . bakal balik menginap sini lagi .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanan <extra_id_1> oke <extra_id_2> positive ; <extra_id_3> tempat parkir <extra_id_4> disediakan <extra_id_5> positive ; <extra_id_6> tempat parkir <extra_id_7> sering ramai <extra_id_8> neutral ; <extra_id_9> NULL <extra_id_10> baguss <extra_id_11> positive,aos
"ruangan nya sangat luas bisa buat satu keluarga kecil dengan 2 anak free 1 single bed , tempatnya nyaman dan bersih , kamar mandi juga luas namun akan lebih baik lagi jk dikasih pembatas antara toilet dengan shower , tapi overall sangat rekomended .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> ruangan nya <extra_id_1> sangat luas ; <extra_id_2> tempatnya <extra_id_3> nyaman ; <extra_id_4> tempatnya <extra_id_5> bersih ; <extra_id_6> kamar mandi <extra_id_7> luas ; <extra_id_8> overall <extra_id_9> sangat rekomended,ao
"pintu tidak bisa di kunci dari luar .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pintu <extra_id_1> negative,as
"kamar nyaman , hanya wifi tidak sampai dikamar , mungkin bisa diletakkan spot wifi di dekat kamar . sar .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> nyaman ; <extra_id_2> wifi <extra_id_3> tidak sampai dikamar,ao
Kamar yang saya tempati sangat bising sehingga mengganggu istirahat .| aspek : <extra_id_0>,<extra_id_0> Kamar ; <extra_id_1> mengganggu,a
"sarapan nya untuk lauknya porsinya terlalu sedikit , saluran televisi tidak jelas dan buram , untuk kondisi kamar bersih dan bagus .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> sarapan nya <extra_id_1> terlalu sedikit ; <extra_id_2> saluran televisi <extra_id_3> tidak jelas ; <extra_id_4> saluran televisi <extra_id_5> buram ; <extra_id_6> kamar <extra_id_7> bersih ; <extra_id_8> kamar <extra_id_9> bagus,ao
"pelayanan ramah . bersih , nyaman .| opini : <extra_id_0>",<extra_id_0> ramah ; <extra_id_1> bersih ; <extra_id_2> nyaman,o
"The first night , staff allocated me to a room that the bathroom door couldn't close .| opini : <extra_id_0>",<extra_id_0> couldn't close,o
"bangunan yang baru jadi pasti trasa nyaman . fasilitas juga ada pool yang cukup besar dan bersih . tetapi sayang lokasinya yang sedikit ke dalam , kalau cari makanan di malam hari agak susah . jadi harus pakai aplikasi atau pesan ke pihak pengelola hotelnya .| aspek : <extra_id_0>",<extra_id_0> pool ; <extra_id_1> NULL,a
"kamar bersih dengan ac yang dingin .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> bersih ; <extra_id_2> ac <extra_id_3> dingin,ao
"kamar dalam kondisi bersih , begitu juga dengan toilet , pelayanan room pelayanan cepat , menu breakfast enak dan variasi menu sesuai dengan rate yang ditawarkan .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> positive ; <extra_id_2> toilet <extra_id_3> positive ; <extra_id_4> pelayanan room pelayanan <extra_id_5> positive ; <extra_id_6> menu breakfast <extra_id_7> positive,as
"kamar nyaman , penjaga ramah , dan sopan .| opini : <extra_id_0>",<extra_id_0> nyaman ; <extra_id_1> ramah ; <extra_id_2> sopan,o
"angkringan . oke . pusat oleh oleh .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> angkringan <extra_id_1> oke ; <extra_id_2> pusat oleh oleh <extra_id_3> oke,ao
"ac tidak dingin , kamar mandinya kurang bersih .| opini : <extra_id_0>",<extra_id_0> tidak dingin ; <extra_id_1> kurang bersih,o
"kali ini saya dan suami diberi kamar yang luas dan nyaman seperti di rumah sendiri , ada balkon juga , suka pokoknya .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar <extra_id_1> luas <extra_id_2> positive ; <extra_id_3> kamar <extra_id_4> nyaman <extra_id_5> positive,aos
"pelayanannya ramah , sudah langganan untuk menghinap dan beristirahat di sini .| aspek : <extra_id_0>",<extra_id_0> pelayanannya,a
"tolong kamar airy pindah di lantai bawah iya . biar tidak naik tangga . lainnya oke , ac dingin , kamar mandi perlu pewangi , kamar juga perlu pewangi ruangan .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> lainnya <extra_id_1> oke ; <extra_id_2> ac <extra_id_3> dingin ; <extra_id_4> kamar mandi <extra_id_5> perlu pewangi ; <extra_id_6> kamar <extra_id_7> perlu pewangi ruangan,ao
"kamarnya nyaman , bersih hanya untuk colokan minim sekali dan gordennya sangat tipis kelihat dari luar kamar . tetapi semuanya baik . terima kasih airy : ) .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamarnya <extra_id_1> nyaman ; <extra_id_2> kamarnya <extra_id_3> bersih ; <extra_id_4> colokan <extra_id_5> minim sekali ; <extra_id_6> gordennya <extra_id_7> sangat tipis ; <extra_id_8> semuanya <extra_id_9> baik,ao
"breakfastnya bervariasi dan sehat . thank you for servicing .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> breakfastnya <extra_id_1> bervariasi ; <extra_id_2> breakfastnya <extra_id_3> sehat,ao
"lokasi strategis dekat alunalun malang , banyak tempat makan .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> lokasi <extra_id_1> strategis,ao
"kamarnya nyaman dan termasuk murah hanya saja setiap malam selalu ribut selebihnya okeh .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamarnya <extra_id_1> positive ; <extra_id_2> selebihnya <extra_id_3> positive,as
"2 kali inap di situ dengan kamar yang berbeda tetapi sama saja kamar mandi tetap bau .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar mandi <extra_id_1> tetap bau,ao
baik dan ramah .| opini : <extra_id_0>,<extra_id_0> baik dan,o
"sangat baik untuk pelayanan kamar hotelnya , semoga kedepannya tetap menjaga pelayanan kamarnya iya !| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanan <extra_id_1> sangat baik <extra_id_2> positive,aos
nyaman pelayanan sigap berasa di rumah . hanya saja soal privasi kurang karena penjaga rumah nya sering masuk kamar tanpa diminta di saat tamu tidak ada .| aspek : <extra_id_0>,<extra_id_0> pelayanan ; <extra_id_1> privasi,a
"pelayanan ramah dan cepat . kondisi kamar nyaman . responsif dan mudah .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> ramah ; <extra_id_2> pelayanan <extra_id_3> cepat ; <extra_id_4> kamar <extra_id_5> nyaman ; <extra_id_6> NULL <extra_id_7> responsif ; <extra_id_8> NULL <extra_id_9> mudah,ao
"kamar agak kotor , bau rokoknya kuat , sarapan dan pelayanan istimewa .| opini : <extra_id_0>",<extra_id_0> agak kotor ; <extra_id_1> bau rokoknya kuat ; <extra_id_2> istimewa,o
"wifi jelek .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> wifi <extra_id_1> negative,as
sabun dan sampo yang seperti di gambar tidak tersedia . so far still good . recomended pokoknya .| opini : <extra_id_0>,<extra_id_0> tidak tersedia ; <extra_id_1> recomended,o
"minus air panas , ac kurang dingin , tidak ada keran buat wudhu . tetapi afterall its oke , suasananya nyaman tanpa ada suara kendaraan , dan tidak bising .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> air panas <extra_id_1> minus <extra_id_2> negative ; <extra_id_3> ac <extra_id_4> kurang dingin <extra_id_5> negative ; <extra_id_6> afterall <extra_id_7> oke <extra_id_8> positive ; <extra_id_9> suasananya <extra_id_10> nyaman <extra_id_11> positive ; <extra_id_12> suasananya <extra_id_13> tidak bising <extra_id_14> positive,aos
"kamar kotor .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> kotor,ao
"untuk harga segitu , iya pas untuk singgah sejenak , ( masuk malam , keluar pagi ) .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",NULL,as
"Good Service , Good Food , Nice place , closer to malioboro .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> Service <extra_id_1> positive ; <extra_id_2> Food <extra_id_3> positive ; <extra_id_4> place <extra_id_5> positive,as
kamar bersih . ac dingin .| opini : <extra_id_0>,<extra_id_0> bersih ; <extra_id_1> dingin,o
"pelayanannya sangat oke , check in cepat , fasilitasnya lengkap dan buat nyaman .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanannya <extra_id_1> sangat oke <extra_id_2> positive ; <extra_id_3> check in <extra_id_4> cepat <extra_id_5> positive ; <extra_id_6> fasilitasnya <extra_id_7> lengkap <extra_id_8> positive ; <extra_id_9> fasilitasnya <extra_id_10> buat nyaman <extra_id_11> positive,aos
"dengan budget segitu sudah dangat bagus .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> NULL <extra_id_1> dangat bagus,ao
"kamarnya bersih , dan nyaman .| aspek : <extra_id_0>",<extra_id_0> kamarnya,a
kamar mandi jorok . ada cicak mati .| opini : <extra_id_0>,<extra_id_0> jorok ; <extra_id_1> ada cicak mati,o
"pesanan hangus sebelum check in .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",NULL,as
"semoga tetap dipertahnkn .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",NULL,aos
"hotel dekat dengan alunalun dan jalan malioboro , kamar bersih dan pelayanan baik .| aspek : <extra_id_0>",<extra_id_0> kamar ; <extra_id_1> pelayanan,a
"di lantai 1 hotel tidak ada sinyal sama sekali , saya pakai 2 kartu operator yang beda . wi - fi hotel juga tidak menjangkau lantai 1 . shower di kamar mandi rusak , kamar juga kurang bersih ( ada puntung rokok di sela kamar tidur dan dinding .| opini : <extra_id_0>",<extra_id_0> tidak menjangkau ; <extra_id_1> rusak ; <extra_id_2> kurang bersih,o
"lumayan , sayang kamar agak redup lampunya .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> lampunya <extra_id_1> agak redup ; <extra_id_2> NULL <extra_id_3> lumayan,ao
"luas tempatnya . perlu di renovasi cat kamarnya biar tampak segar .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> tempatnya <extra_id_1> luas,ao
"pelayanan nya kurang baik . tempat nya sudah oke bagus bersih .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanan nya <extra_id_1> negative ; <extra_id_2> tempat nya <extra_id_3> positive,as
banyak para pengunjung yang berpenampilan kurang sopan . anakanak pada takut .| aspek : <extra_id_0>,<extra_id_0> pengunjung,a
pelayanan sangat baik dab memuaskan . sangat bersih dan nyaman .| aspek : <extra_id_0>,<extra_id_0> pelayanan ; <extra_id_1> NULL,a
"cukup menyenangkan hanya pelayanan dari resepsiinis yang kurang oke , saya datang jam 1 sing diminta mnunggu dan meninggalkan nomor telepon agar saat room sudah siap saya akan di hubungi , kemudian saya keluar makan siang sehingga jam 2 sing lebih tidak ada kabar dari pihak hotel ternyata room sudah siap saat saya datang lagi .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> negative ; <extra_id_2> resepsiinis <extra_id_3> negative ; <extra_id_4> NULL <extra_id_5> positive,as
"sudah berkali kali repeat order di airy karena selalu suka dengan compliment yang diberikan .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> compliment <extra_id_1> positive,as
pelayanan nya kurang baik . tempat nya sudah oke bagus bersih .| opini : <extra_id_0>,<extra_id_0> kurang baik ; <extra_id_1> oke ; <extra_id_2> bagus ; <extra_id_3> bersih,o
"listrik sering mati .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> listrik <extra_id_1> sering mati <extra_id_2> negative,aos
"menyenangkan . dengan harga murah tetapi nyaman . cuma kurang perabotan seperti meja dan kursi .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> harga <extra_id_1> murah <extra_id_2> positive ; <extra_id_3> perabotan <extra_id_4> kurang <extra_id_5> negative ; <extra_id_6> meja <extra_id_7> kurang <extra_id_8> negative ; <extra_id_9> kursi <extra_id_10> kurang <extra_id_11> negative ; <extra_id_12> NULL <extra_id_13> menyenangkan <extra_id_14> positive ; <extra_id_15> NULL <extra_id_16> nyaman <extra_id_17> positive,aos
"nyaman banget , ramah semua pegawainya . recommended . cuma perlu sedikit diperbaiki showernya .| opini : <extra_id_0>",<extra_id_0> ramah ; <extra_id_1> perlu sedikit diperbaiki ; <extra_id_2> nyaman banget ; <extra_id_3> recommended,o
"pelayanan sangat ramah , tetapi kamar mandi bau sekali .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> sangat ramah ; <extra_id_2> kamar mandi <extra_id_3> bau sekali,ao
tidak ada sirkulasi udara yang baik .| aspek : <extra_id_0>,<extra_id_0> sirkulasi udara,a
"alhamdulillah baik pelayanannya .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> pelayanannya <extra_id_1> baik <extra_id_2> positive,aos
"kondisi kamar dan keseluruhan sangat baik dan aesthetic . cuma perlu diperhatikan lagi di kunci pintu balcon itu tidak berfungsi .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar <extra_id_1> sangat baik <extra_id_2> positive ; <extra_id_3> kamar <extra_id_4> aesthetic <extra_id_5> positive ; <extra_id_6> keseluruhan <extra_id_7> sangat baik <extra_id_8> positive ; <extra_id_9> keseluruhan <extra_id_10> aesthetic <extra_id_11> positive ; <extra_id_12> pintu balcon <extra_id_13> tidak berfungsi <extra_id_14> negative,aos
"kamar tidak kedap suara . proses check in tidak baik .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> negative ; <extra_id_2> proses check in <extra_id_3> negative,as
"kecewa karena pakai traveloka ternyata harga mahal kamar tidak ada ventilasi jendela , pengap , handuk kucel , harga lebih murah go show dan dikasih kamar bagusbagus , tolong di review kembali .| aspek : <extra_id_0>",<extra_id_0> ventilasi jendela ; <extra_id_1> handuk ; <extra_id_2> NULL,a
"bersih , nyaman , strategis .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
"ac kurang dingin dan kamar model lama .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> ac <extra_id_1> kurang dingin <extra_id_2> negative ; <extra_id_3> kamar <extra_id_4> model lama <extra_id_5> negative,aos
"sarapan rasa standar .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> sarapan <extra_id_1> standar <extra_id_2> negative,aos
semuanya baik dan bagus .| opini : <extra_id_0>,<extra_id_0> baik ; <extra_id_1> bagus,o
"saya sangat puas dengan pelayanan di airy , kamar nyaman , kamar mandi bersih . saya akan berlangganan !| opini : <extra_id_0>",<extra_id_0> sangat puas ; <extra_id_1> nyaman ; <extra_id_2> bersih,o
"saya menginap 4 dan , jatah snack dan perlengkapan mandi ( sabun dan lainlain ) hanya di berikan saat hari pertama c in . untuk kebersihan dan sarapan oke .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kebersihan <extra_id_1> oke ; <extra_id_2> sarapan <extra_id_3> oke,ao
"lokasi , pelayanan maupun fasilitas menyenangkan .| opini : <extra_id_0>",<extra_id_0> menyenangkan,o
"pelayanan baik , terima kasih .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> pelayanan <extra_id_1> positive,as
"lumayan nyaman untuk backpack , sesuai dengan hargalah .| aspek : <extra_id_0>",<extra_id_0> NULL,a
"peralatan mandi hanya di kasih satu , padahal tamu 2 orang , . selain itu oke .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> peralatan mandi <extra_id_1> negative ; <extra_id_2> selain itu <extra_id_3> positive,as
"kamar bagus . pelayanan bagus . jadi mau ke bali lagi menginap di sini .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> bagus ; <extra_id_2> pelayanan <extra_id_3> bagus,ao
"rapi , bagus , bersih , nyaman dan lokasi strategis .| aspek : <extra_id_0>",<extra_id_0> lokasi ; <extra_id_1> NULL,a
"untuk lokasinya , harga sangat murah .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> harga <extra_id_1> positive,as
tempatnya bersih dan nyaman dengan harga terjangkau sudah memuaskan .| opini : <extra_id_0>,<extra_id_0> bersih ; <extra_id_1> nyaman ; <extra_id_2> terjangkau ; <extra_id_3> memuaskan,o
Varieties of food available .| aspek : <extra_id_0>,<extra_id_0> food,a
"hotelnya nyaman tetapi kurang bersih .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> hotelnya <extra_id_1> positive ; <extra_id_2> hotelnya <extra_id_3> negative,as
"ketiadaan tempat parkir mobil seharusnya diinfokan di profile hotel . itu akan sangat membantu .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> tempat parkir mobil <extra_id_1> negative,as
"untuk ukuran kamar cukup luas sayang ac kurang dingin ( remote ac hanya berfungsi on off saja ) , kamar mandi tidak ada exhaust sehingga menimbulkan aroma yang tidak sedap , tv kurang besar ( tidak sesuai dengan luas kamar ) , pelayanan petugas kurang ramah dan kurang menyenangkan .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> ukuran kamar <extra_id_1> positive ; <extra_id_2> ac <extra_id_3> negative ; <extra_id_4> exhaust <extra_id_5> negative ; <extra_id_6> aroma <extra_id_7> negative ; <extra_id_8> tv <extra_id_9> negative ; <extra_id_10> pelayanan petugas <extra_id_11> negative,as
"fasilitas baik seperti pada umumnya . hanya saya bangunan hotel terlihat seperti bangunan lama sehingga saya pribadi kurang nyaman . overall baik .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> fasilitas <extra_id_1> baik <extra_id_2> positive ; <extra_id_3> overall <extra_id_4> baik <extra_id_5> positive ; <extra_id_6> NULL <extra_id_7> kurang nyaman <extra_id_8> negative,aos
"kamar bersih , wangi , staf ramah dan sangat membantu , kamar luas , wifi cepat , harga terjangkau . terimakasih airy .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> kamar <extra_id_1> positive ; <extra_id_2> staf <extra_id_3> positive ; <extra_id_4> kamar <extra_id_5> positive ; <extra_id_6> wifi <extra_id_7> positive ; <extra_id_8> harga <extra_id_9> positive,as
"bersih , petugas ramah , lokasi strategis dan sekarang sudah jadi langganan tetap .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> petugas <extra_id_1> positive ; <extra_id_2> lokasi <extra_id_3> positive ; <extra_id_4> NULL <extra_id_5> positive,as
sesuai untuk menginap budget terbatas tetapi tempat nyaman dan bersih . jika kemedan saya akan menginap disini lagi .| opini : <extra_id_0>,<extra_id_0> nyaman ; <extra_id_1> bersih,o
"romm nya bagus tetapi saysng lokasi nya di dalam pemukiman yang padat .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> romm nya <extra_id_1> bagus,ao
"lumayan . sayang ada 1 hari yang kamar tidak di bersihkan dan tidak dapat minuman , dikarenakan tidak adanya pegawai .| opini : <extra_id_0>",<extra_id_0> tidak di bersihkan ; <extra_id_1> tidak dapat ; <extra_id_2> tidak adanya ; <extra_id_3> lumayan,o
tidak sesuai dengan kamar pesanan . ac tidak dingin .| aspek : <extra_id_0>,<extra_id_0> kamar ; <extra_id_1> ac,a
"hotel sangat nyaman tetapi sayangnya handuk kurang bagus dan tidak ada air panas padahal seharusnya ada , overall good lah .| opini : <extra_id_0>",<extra_id_0> sangat nyaman ; <extra_id_1> kurang bagus ; <extra_id_2> tidak ada ; <extra_id_3> good,o
"kamar mandi kurang bersih . lemari pakaian tidak layak . selebihnya masih oke .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar mandi <extra_id_1> kurang bersih <extra_id_2> negative ; <extra_id_3> lemari pakaian <extra_id_4> tidak layak <extra_id_5> negative ; <extra_id_6> selebihnya <extra_id_7> masih oke <extra_id_8> positive,aos
kamar bersih dan nyaman . cuma sayang air panasnya mati dan mohon untuk memberikan petunjuk arah kiblat agar memudahkan muslim menjalankan sholat . selebihnya good pelayanan . terimakasih airy .| aspek : <extra_id_0>,<extra_id_0> kamar ; <extra_id_1> air panasnya ; <extra_id_2> pelayanan,a
"overall baik , cuma air di kamar mandinya agak asin ( ? ) .| opini : <extra_id_0>",<extra_id_0> baik ; <extra_id_1> agak asin,o
"air kamar mandi kotor , ac tidak dingin , seprai kotor , kamar berbau .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> air kamar mandi <extra_id_1> negative ; <extra_id_2> ac <extra_id_3> negative ; <extra_id_4> seprai <extra_id_5> negative ; <extra_id_6> kamar <extra_id_7> negative,as
"kamar bersih rapi dan nyaman .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> bersih ; <extra_id_2> kamar <extra_id_3> rapi ; <extra_id_4> kamar <extra_id_5> nyaman,ao
kamarnya agak sempit sehingga mau sholat agak susah karena bdn sya tinggi jadi agak susah . signal agak susah di dalam kamar .| opini : <extra_id_0>,<extra_id_0> agak sempit,o
"Lalu ketika sarapan , saya menemukan pastanya sama dengan yg semalam saya makan .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> pastanya <extra_id_1> sama dengan yg semalam,ao
"kamar bagus , lokasi hotel agak kedalam .| aspek : <extra_id_0> ,opini : <extra_id_1> ,sentimen : <extra_id_2>",<extra_id_0> kamar <extra_id_1> bagus <extra_id_2> positive ; <extra_id_3> lokasi hotel <extra_id_4> agak kedalam <extra_id_5> neutral,aos
seprainya bau ompol . kolam renangnya kotor .| opini : <extra_id_0>,<extra_id_0> bau ompol ; <extra_id_1> kotor,o
semua baik hanya channel tv yang mungkin bisa diperbaiki .| opini : <extra_id_0>,<extra_id_0> baik ; <extra_id_1> diperbaiki,o
Sarapan dapat ditingkatkan - berikan lebih banyak variasi .| opini : <extra_id_0>,<extra_id_0> dapat ditingkatkan ; <extra_id_1> berikan lebih banyak variasi,o
"berisik , kamar kurang bersih , buat yang lainnya lumayanlah untuk budget segitu .| aspek : <extra_id_0> ,opini : <extra_id_1>",<extra_id_0> kamar <extra_id_1> kurang bersih ; <extra_id_2> yang lainnya <extra_id_3> lumayanlah ; <extra_id_4> NULL <extra_id_5> berisik,ao
"nyaman , bersih , lengkap .| aspek : <extra_id_0> ,sentimen : <extra_id_1>",<extra_id_0> NULL <extra_id_1> positive,as
